county,Case_Fatality_Ratio,final_full,final_elderly,final_booster,final_elderly_booster,avg_full,obesity_pct,diabetes_deaths,smoking_pct,sedentary_pct,poverty_pct,hospital_beds,overweight_pct,pct_65plus,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,EP_NHPI,EP_TWOMORE,EP_OTHERRACE,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ
Pasco,1.39609414121182,0.602,0.877,0.44799999999999995,0.614,0.40396453900709217,0.261,0.278,0.21600000000000003,0.275,0.122,0.47193422557358256,0.336,0.2277136622,0.3636,0.7273,0.4848,0.2273,0.3636,0.20199999999999999,0.053,0.276,0.09300000000000001,0.11199999999999999,0.222,0.20199999999999999,0.16399999999999998,0.055,0.023,0.29600000000000004,0.055999999999999994,0.174,0.027999999999999997,0.002,0.001,0.031,0.004,0.064,0.18,0.015,0.048,0.013999999999999999
Pinellas,1.42305213226241,0.659,0.873,0.484,0.648,0.45935460992907806,0.284,0.21,0.19699999999999998,0.22,0.115,0.66384576969322,0.354,0.2593060944,0.197,0.2879,0.3939,0.6212,0.3182,0.195,0.046,0.304,0.075,0.10800000000000001,0.256,0.157,0.155,0.048,0.023,0.276,0.098,0.10400000000000001,0.035,0.001,0.001,0.033,0.004,0.244,0.09,0.019,0.069,0.024
Polk,1.31725859153079,0.586,0.865,0.408,0.622,0.38182092198581563,0.363,0.273,0.17800000000000002,0.317,0.146,0.4332312928615313,0.35,0.2048808334,0.6212,0.7727,0.803,0.6515,0.8485,0.257,0.046,0.28600000000000003,0.131,0.13,0.19899999999999998,0.21899999999999997,0.141,0.062,0.049,0.456,0.14400000000000002,0.262,0.017,0.001,0.0,0.026000000000000002,0.006,0.06,0.205,0.033,0.052000000000000005,0.021
Putnam,2.18622285686149,0.428,0.701,0.40299999999999997,0.602,0.28024113475177304,0.395,0.48100000000000004,0.26899999999999996,0.359,0.237,0.1173203462280399,0.302,0.2390419939,0.9545,0.9545,0.4848,0.8333,0.9394,0.39,0.08900000000000001,0.251,0.17600000000000002,0.166,0.235,0.213,0.184,0.064,0.03,0.29600000000000004,0.156,0.105,0.006,0.002,0.0,0.024,0.002,0.024,0.42200000000000004,0.026000000000000002,0.075,0.019
Santa Rosa,1.17552907700516,0.551,0.915,0.37799999999999995,0.614,0.35432801418439724,0.322,0.212,0.21100000000000002,0.294,0.08800000000000001,0.24528396093276988,0.36200000000000004,0.1649273916,0.0909,0.0606,0.1364,0.1515,0.0606,0.159,0.047,0.209,0.07400000000000001,0.109,0.163,0.218,0.15,0.049,0.006999999999999999,0.2,0.057,0.062,0.019,0.002,0.002,0.05,0.008,0.044000000000000004,0.085,0.018000000000000002,0.035,0.027999999999999997
Sarasota,1.60243139673171,0.713,0.935,0.519,0.647,0.503290780141844,0.221,0.132,0.16399999999999998,0.22,0.081,0.6174005383617065,0.39799999999999996,0.37931271369999997,0.0606,0.1061,0.1212,0.197,0.0758,0.142,0.034,0.256,0.059000000000000004,0.102,0.373,0.14,0.151,0.035,0.018000000000000002,0.18600000000000003,0.040999999999999995,0.099,0.018000000000000002,0.001,0.0,0.024,0.003,0.16699999999999998,0.083,0.013000000000000001,0.044000000000000004,0.018000000000000002
Seminole,0.952838882878551,0.632,0.8440000000000001,0.491,0.7490000000000001,0.4282925531914893,0.22699999999999998,0.23800000000000002,0.11199999999999999,0.226,0.095,0.31278940035363334,0.376,0.16334749710000002,0.1212,0.3182,0.7424,0.0909,0.1515,0.159,0.043,0.295,0.061,0.10099999999999999,0.16,0.207,0.113,0.064,0.03,0.429,0.11,0.22899999999999998,0.05,0.001,0.0,0.034,0.005,0.152,0.023,0.025,0.039,0.009000000000000001
St. Johns,0.851092618902645,0.715,0.95,0.489,0.711,0.4987695035460992,0.24,0.114,0.146,0.222,0.077,0.09112618868402804,0.34299999999999997,0.21004796209999999,0.0,0.0455,0.1364,0.0152,0.0,0.11800000000000001,0.044000000000000004,0.213,0.05,0.07200000000000001,0.207,0.215,0.105,0.043,0.01,0.2,0.052000000000000005,0.08,0.031,0.001,0.001,0.031,0.004,0.08800000000000001,0.055,0.01,0.024,0.011000000000000001
St. Lucie,1.46252082176569,0.597,0.8440000000000001,0.44,0.659,0.40094503546099297,0.324,0.257,0.161,0.303,0.11800000000000001,0.4574859588369818,0.377,0.2506279795,0.7576,0.8182,0.8485,0.0758,0.5909,0.221,0.06,0.3,0.114,0.126,0.244,0.196,0.152,0.067,0.031,0.462,0.198,0.20600000000000002,0.02,0.001,0.0,0.031,0.005,0.107,0.07,0.02,0.045,0.01
Sumter,2.31982228049091,0.818,0.95,0.5920000000000001,0.6679999999999999,0.6045851063829788,0.275,0.248,0.11699999999999999,0.215,0.09699999999999999,0.42367437221362186,0.43799999999999994,0.5905924587,0.0303,0.0758,0.0606,0.1061,0.0303,0.14800000000000002,0.051,0.201,0.075,0.06,0.579,0.071,0.185,0.02,0.009000000000000001,0.157,0.068,0.061,0.011000000000000001,0.002,0.0,0.011000000000000001,0.005,0.036000000000000004,0.125,0.012,0.035,0.062
Suwannee,2.22459750150311,0.39,0.7090000000000001,0.391,0.574,0.2640301418439716,0.376,0.293,0.254,0.36200000000000004,0.152,-1.5025548626081826,0.376,0.22052825580000002,0.5758,0.6818,0.303,0.8636,0.6818,0.27399999999999997,0.055,0.198,0.157,0.13,0.212,0.212,0.20600000000000002,0.045,0.012,0.255,0.11199999999999999,0.10400000000000001,0.006,0.0,0.0,0.032,0.001,0.02,0.501,0.027999999999999997,0.059000000000000004,0.039
Taylor,1.37886597938144,0.41,0.7290000000000001,0.35100000000000003,0.547,0.2727464539007093,0.376,0.526,0.23800000000000002,0.32899999999999996,0.182,0.34436173483902405,0.305,0.2115512872,0.3939,0.7424,0.4091,0.5909,0.5303,0.28,0.057999999999999996,0.196,0.16699999999999998,0.08199999999999999,0.204,0.196,0.20800000000000002,0.066,0.01,0.27899999999999997,0.20199999999999999,0.040999999999999995,0.001,0.002,0.003,0.022000000000000002,0.006,0.006999999999999999,0.373,0.02,0.055,0.14300000000000002
Union,2.46305418719212,0.364,0.6809999999999999,0.309,0.535,0.24090957446808514,0.389,0.261,0.324,0.264,0.17,0.6803931402827404,0.359,0.1533778094,0.2273,0.5,0.4697,0.8788,0.4848,0.243,0.036000000000000004,0.131,0.221,0.114,0.17,0.215,0.179,0.075,0.003,0.292,0.166,0.057,0.001,0.002,0.0,0.064,0.001,0.006,0.45399999999999996,0.062,0.037000000000000005,0.321
Volusia,1.51812294538426,0.607,0.905,0.462,0.647,0.41702836879432625,0.355,0.26899999999999996,0.185,0.251,0.129,0.49773641611118297,0.307,0.25356844030000003,0.3333,0.4394,0.5606,0.3333,0.3485,0.21,0.042,0.306,0.084,0.11599999999999999,0.248,0.175,0.17300000000000001,0.054000000000000006,0.013000000000000001,0.31,0.10300000000000001,0.156,0.018000000000000002,0.001,0.0,0.026000000000000002,0.004,0.142,0.084,0.015,0.055999999999999994,0.025
Wakulla,1.14712783523073,0.457,0.907,0.414,0.624,0.3138297872340426,0.379,0.149,0.214,0.33799999999999997,0.062,-2.3496676104789618,0.36700000000000005,0.161790462,0.0758,0.0152,0.1818,0.303,0.0455,0.158,0.036000000000000004,0.226,0.11599999999999999,0.07,0.157,0.20600000000000002,0.132,0.043,0.006999999999999999,0.222,0.145,0.043,0.001,0.002,0.0,0.027000000000000003,0.003,0.001,0.292,0.027000000000000003,0.034,0.086
Walton,1.13000101801894,0.502,0.8340000000000001,0.41600000000000004,0.616,0.33313475177304974,0.34299999999999997,0.175,0.28600000000000003,0.314,0.128,0.27153680879253705,0.379,0.2055659141,0.2879,0.3182,0.0758,0.4394,0.2576,0.18,0.053,0.23800000000000002,0.081,0.135,0.2,0.203,0.161,0.053,0.012,0.16899999999999998,0.037000000000000005,0.066,0.011000000000000001,0.003,0.0,0.047,0.005,0.192,0.13,0.026000000000000002,0.039,0.021
Washington,1.58429248476642,0.331,0.687,0.368,0.574,0.22307092198581557,0.386,0.561,0.222,0.336,0.223,0.3895774798952442,0.306,0.1775887748,0.8182,0.7879,0.2576,0.3182,0.5758,0.358,0.048,0.21600000000000003,0.16899999999999998,0.14400000000000002,0.174,0.2,0.204,0.092,0.009000000000000001,0.237,0.14,0.044000000000000004,0.01,0.011000000000000001,0.0,0.032,0.001,0.008,0.371,0.02,0.028999999999999998,0.11
